A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,CH056	7107 	7107 	7107 	7107 	7107 	7107 	7107 	7107 	7107 	7107 
A,TOTAL,KM2,CH057	990 	990 	990 	990 	990 	990 	990 	990 	990 	990 
A,TOTAL,KM2,CH06	4483 	4482 	4482 	4482 	4482 	4482 	4482 	4482 	4482 	4482 
A,TOTAL,KM2,CH061	1493 	1493 	1493 	1493 	1493 	1493 	1493 	1493 	1493 	1493 
A,TOTAL,KM2,CH062	1076 	1076 	1076 	1076 	1076 	1076 	1076 	1076 	1076 	1076 
A,TOTAL,KM2,CH063	907 	907 	907 	907 	907 	907 	907 	907 	907 	907 
A,TOTAL,KM2,CH064	491 	491 	491 	491 	491 	491 	491 	491 	491 	491 
A,TOTAL,KM2,CH065	276 	276 	276 	276 	276 	276 	276 	276 	276 	276 
A,TOTAL,KM2,CH066	239 	239 	239 	239 	239 	239 	239 	239 	239 	239 
A,TOTAL,KM2,CH07	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 
A,TOTAL,KM2,CH070	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 	2812 
A,TOTAL,KM2,CY	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 
A,TOTAL,KM2,CY0	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 
A,TOTAL,KM2,CY00	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 
A,TOTAL,KM2,CY000	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 	9253 
A,TOTAL,KM2,CZ	78870 	78871 	78871 	78871 	78871 	78871 	78871 	78871 	78871 	78871 
A,TOTAL,KM2,CZ0	78870 	78871 	78871 	78871 	78871 	78871 	78871 	78871 	78871 	78871 
A,TOTAL,KM2,CZ01	496 	496 	496 	496 	496 	496 	496 	496 	496 	496 
A,TOTAL,KM2,CZ010	496 	496 	496 	496 	496 	496 	496 	496 	496 	496 
A,TOTAL,KM2,CZ02	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 
A,TOTAL,KM2,CZ020	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 	10929 
A,TOTAL,KM2,CZ03	17707 	17707 	17707 	17707 	17707 	17707 	17707 	17707 	17707 	17707 
A,TOTAL,KM2,CZ031	10058 	10058 	10058 	10058 	10058 	10058 	10058 	10058 	10058 	10058 
A,TOTAL,KM2,CZ032	7649 	7649 	7649 	7649 	7649 	7649 	7649 	7649 	7649 	7649 
A,TOTAL,KM2,CZ04	8649 	8649 	8649 	8649 	8649 	8649 	8649 	8649 	8649 	8649 
A,TOTAL,KM2,CZ041	3310 	3310 	3310 	3310 	3310 	3310 	3310 	3310 	3310 	3310 
A,TOTAL,KM2,CZ042	5339 	5339 	5339 	5339 	5339 	5339 	5339 	5339 	5339 	5339 
A,TOTAL,KM2,CZ05	12441 	12441 	12441 	12441 	12441 	12441 	12441 	12441 	12441 	12441 
A,TOTAL,KM2,CZ051	3163 	3163 	3163 	3163 	3163 	3163 	3163 	3163 	3163 	3163 
A,TOTAL,KM2,CZ052	4759 	4759 	4759 	4759 	4759 	4759 	4759 	4759 	4759 	4759 
A,TOTAL,KM2,CZ053	4519 	4519 	4519 	4519 	4519 	4519 	4519 	4519 	4519 	4519 
A,TOTAL,KM2,CZ06	13983 	13984 	13984 	13984 	13984 	13984 	13984 	13984 	13984 	13984 
A,TOTAL,KM2,CZ063	6796 	6796 	6796 	6796 	6796 	6796 	6796 	6796 	6796 	6796 
A,TOTAL,KM2,CZ064	7188 	7188 	7188 	7188 	7188 	7188 	7188 	7188 	7188 	7188 
A,TOTAL,KM2,CZ07	9234 	9235 	9235 	9235 	9235 	9235 	9235 	9235 	9235 	9235 
A,TOTAL,KM2,CZ071	5273 	5273 	5273 	5273 	5273 	5273 	5273 	5273 	5273 	5273 
A,TOTAL,KM2,CZ072	3962 	3962 	3962 	3962 	3962 	3962 	3962 	3962 	3962 	3962 
A,TOTAL,KM2,CZ08	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 
A,TOTAL,KM2,CZ080	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 	5430 
A,TOTAL,KM2,DE	357568 	357569 	357569 	357569 	357569 	357569 	357569 	357569 	357569 	357569 
A,TOTAL,KM2,DE1	35748 	35745 	35745 	35745 	35745 	35745 	35745 	35745 	35745 	35745 
A,TOTAL,KM2,DE11	10557 	10556 	10556 	10556 	10556 	10556 	10556 	10556 	10556 	10556 
A,TOTAL,KM2,DE111	207 	207 	207 	207 	207 	207 	207 	207 	207 	207 
A,TOTAL,KM2,DE112	618 	618 	618 	618 	618 	618 	618 	618 	618 	618 
A,TOTAL,KM2,DE113	641 	641 	641 	641 	641 	641 	641 	641 	641 	641 
A,TOTAL,KM2,DE114	642 	642 	642 	642 	642 	642 	642 	642 	642 	642 
A,TOTAL,KM2,DE115	687 	687 	687 	687 	687 	687 	687 	687 	687 	687 
A,TOTAL,KM2,DE116	858 	858 	858 	858 	858 	858 	858 	858 	858 	858 
A,TOTAL,KM2,DE117	100 	100 	100 	100 	100 	100 	100 	100 	100 	100 
A,TOTAL,KM2,DE118	1100 	1100 	1100 	1100 	1100 	1100 	1100 	1100 	1100 	1100 
A,TOTAL,KM2,DE119	777 	777 	777 	777 	777 	777 	777 	777 	777 	777 
A,TOTAL,KM2,DE11A	1484 	1484 	1484 	1484 	1484 	1484 	1484 	1484 	1484 	1484 
