A,TOTAL,KM2,AL035	: 	: 	: 	: 	3737 e	3737 e	3737 e	3737 e	3737 e	3737 e
A,TOTAL,KM2,ES1	45498 	45498 	45498 	45498 	45498 	45498 	45498 	45498 	45498 	45498 
A,TOTAL,KM2,ES11	29570 	29571 	29571 	29571 	29571 	29571 	29571 	29571 	29571 	29571 
A,TOTAL,KM2,ES111	7949 	7949 	7949 	7949 	7949 	7949 	7949 	7949 	7949 	7949 
A,TOTAL,KM2,ES112	9855 	9855 	9855 	9855 	9855 	9855 	9855 	9855 	9855 	9855 
A,TOTAL,KM2,ES113	7273 	7273 	7273 	7273 	7273 	7273 	7273 	7273 	7273 	7273 
A,TOTAL,KM2,ES114	4494 	4494 	4494 	4494 	4494 	4494 	4494 	4494 	4494 	4494 
A,TOTAL,KM2,ES12	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 
A,TOTAL,KM2,ES120	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 	10601 
A,TOTAL,KM2,ES13	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 
A,TOTAL,KM2,ES130	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 	5326 
A,TOTAL,KM2,ES2	70386 	70387 	70387 	70387 	70387 	70387 	70387 	70387 	70387 	70387 
A,TOTAL,KM2,ES21	7229 	7229 	7229 	7229 	7229 	7229 	7229 	7229 	7229 	7229 
A,TOTAL,KM2,ES211	3037 	3037 	3037 	3037 	3037 	3037 	3037 	3037 	3037 	3037 
A,TOTAL,KM2,ES212	1980 	1980 	1980 	1980 	1980 	1980 	1980 	1980 	1980 	1980 
A,TOTAL,KM2,ES213	2212 	2212 	2212 	2212 	2212 	2212 	2212 	2212 	2212 	2212 
A,TOTAL,KM2,ES22	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 
A,TOTAL,KM2,ES220	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 	10391 
A,TOTAL,KM2,ES23	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 
A,TOTAL,KM2,ES230	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 	5045 
A,TOTAL,KM2,ES24	47721 	47722 	47722 	47722 	47722 	47722 	47722 	47722 	47722 	47722 
A,TOTAL,KM2,ES241	15637 	15637 	15637 	15637 	15637 	15637 	15637 	15637 	15637 	15637 
A,TOTAL,KM2,ES242	14810 	14810 	14810 	14810 	14810 	14810 	14810 	14810 	14810 	14810 
A,TOTAL,KM2,ES243	17275 	17275 	17275 	17275 	17275 	17275 	17275 	17275 	17275 	17275 
A,TOTAL,KM2,ES3	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 
A,TOTAL,KM2,ES30	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 
A,TOTAL,KM2,ES300	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 	8031 
A,TOTAL,KM2,ES4	215318 	215317 	215317 	215317 	215317 	215317 	215317 	215317 	215317 	215317 
A,TOTAL,KM2,ES41	94226 	94225 	94225 	94225 	94225 	94225 	94225 	94225 	94225 	94225 
A,TOTAL,KM2,ES411	8050 	8050 	8050 	8050 	8050 	8050 	8050 	8050 	8050 	8050 
A,TOTAL,KM2,ES412	14291 	14291 	14291 	14291 	14291 	14291 	14291 	14291 	14291 	14291 
A,TOTAL,KM2,ES413	15581 	15581 	15581 	15581 	15581 	15581 	15581 	15581 	15581 	15581 
A,TOTAL,KM2,ES414	8052 	8052 	8052 	8052 	8052 	8052 	8052 	8052 	8052 	8052 
A,TOTAL,KM2,ES415	12350 	12350 	12350 	12350 	12350 	12350 	12350 	12350 	12350 	12350 
A,TOTAL,KM2,ES416	6924 	6924 	6924 	6924 	6924 	6924 	6924 	6924 	6924 	6924 
A,TOTAL,KM2,ES417	10306 	10306 	10306 	10306 	10306 	10306 	10306 	10306 	10306 	10306 
A,TOTAL,KM2,ES418	8110 	8110 	8110 	8110 	8110 	8110 	8110 	8110 	8110 	8110 
A,TOTAL,KM2,ES419	10561 	10561 	10561 	10561 	10561 	10561 	10561 	10561 	10561 	10561 
A,TOTAL,KM2,ES42	79458 	79458 	79458 	79458 	79458 	79458 	79458 	79458 	79458 	79458 
A,TOTAL,KM2,ES421	14927 	14927 	14927 	14927 	14927 	14927 	14927 	14927 	14927 	14927 
A,TOTAL,KM2,ES422	19814 	19814 	19814 	19814 	19814 	19814 	19814 	19814 	19814 	19814 
A,TOTAL,KM2,ES423	17140 	17140 	17140 	17140 	17140 	17140 	17140 	17140 	17140 	17140 
A,TOTAL,KM2,ES424	12210 	12210 	12210 	12210 	12210 	12210 	12210 	12210 	12210 	12210 
A,TOTAL,KM2,ES425	15367 	15367 	15367 	15367 	15367 	15367 	15367 	15367 	15367 	15367 
A,TOTAL,KM2,ES43	41634 	41634 	41634 	41634 	41634 	41634 	41634 	41634 	41634 	41634 
A,TOTAL,KM2,ES431	21766 	21766 	21766 	21766 	21766 	21766 	21766 	21766 	21766 	21766 
A,TOTAL,KM2,ES432	19868 	19868 	19868 	19868 	19868 	19868 	19868 	19868 	19868 	19868 
A,TOTAL,KM2,ES5	60357 	60355 	60355 	60355 	60355 	60355 	60355 	60355 	60355 	60355 
A,TOTAL,KM2,ES51	32110 	32110 	32110 	32110 	32110 	32110 	32110 	32110 	32110 	32110 
A,TOTAL,KM2,ES511	7729 	7729 	7729 	7729 	7729 	7729 	7729 	7729 	7729 	7729 
A,TOTAL,KM2,ES512	5909 	5909 	5909 	5909 	5909 	5909 	5909 	5909 	5909 	5909 
A,TOTAL,KM2,ES513	12169 	12169 	12169 	12169 	12169 	12169 	12169 	12169 	12169 	12169 
A,TOTAL,KM2,ES514	6303 	6303 	6303 	6303 	6303 	6303 	6303 	6303 	6303 	6303 
A,TOTAL,KM2,ES52	23255 	23255 	23255 	23255 	23255 	23255 	23255 	23255 	23255 	23255 
A,TOTAL,KM2,ES521	5817 	5817 	5817 	5817 	5817 	5817 	5817 	5817 	5817 	5817 
A,TOTAL,KM2,ES522	6632 	6632 	6632 	6632 	6632 	6632 	6632 	6632 	6632 	6632 
A,TOTAL,KM2,ES523	10806 	10806 	10806 	10806 	10806 	10806 	10806 	10806 	10806 	10806 
A,TOTAL,KM2,ES53	4991 	4990 	4990 	4990 	4990 	4990 	4990 	4990 	4990 	4990 
A,TOTAL,KM2,ES531	655 	655 	655 	655 	655 	655 	655 	655 	655 	655 
A,TOTAL,KM2,ES532	3640 	3640 	3640 	3640 	3640 	3640 	3640 	3640 	3640 	3640 
A,TOTAL,KM2,ES533	695 	695 	695 	695 	695 	695 	695 	695 	695 	695 
A,TOTAL,KM2,ES6	98947 	98948 	98948 	98948 	98948 	98948 	98948 	98948 	98948 	98948 
A,TOTAL,KM2,ES61	87600 	87600 	87600 	87600 	87600 	87600 	87600 	87600 	87600 	87600 
A,TOTAL,KM2,ES611	8775 	8775 	8775 	8775 	8775 	8775 	8775 	8775 	8775 	8775 
A,TOTAL,KM2,ES612	7436 	7436 	7436 	7436 	7436 	7436 	7436 	7436 	7436 	7436 
A,TOTAL,KM2,ES613	13772 	13772 	13772 	13772 	13772 	13772 	13772 	13772 	13772 	13772 
A,TOTAL,KM2,ES614	12648 	12648 	12648 	12648 	12648 	12648 	12648 	12648 	12648 	12648 
A,TOTAL,KM2,ES615	10128 	10128 	10128 	10128 	10128 	10128 	10128 	10128 	10128 	10128 
A,TOTAL,KM2,ES616	13496 	13496 	13496 	13496 	13496 	13496 	13496 	13496 	13496 	13496 
A,TOTAL,KM2,ES617	7309 	7309 	7309 	7309 	7309 	7309 	7309 	7309 	7309 	7309 
A,TOTAL,KM2,ES618	14036 	14036 	14036 	14036 	14036 	14036 	14036 	14036 	14036 	14036 
A,TOTAL,KM2,ES62	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 
A,TOTAL,KM2,ES620	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 	11314 
A,TOTAL,KM2,ES63	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
A,TOTAL,KM2,ES630	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 
A,TOTAL,KM2,ES64	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 
A,TOTAL,KM2,ES640	14 	14 	14 	14 	14 	14 	14 	14 	14 	14 
A,TOTAL,KM2,ES7	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 
A,TOTAL,KM2,ES70	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 	7447 
A,TOTAL,KM2,ES703	269 	269 	269 	269 	269 	269 	269 	269 	269 	269 
A,TOTAL,KM2,ES704	1660 	1660 	1660 	1660 	1660 	1660 	1660 	1660 	1660 	1660 
A,TOTAL,KM2,ES705	1560 	1560 	1560 	1560 	1560 	1560 	1560 	1560 	1560 	1560 
A,TOTAL,KM2,ES706	370 	370 	370 	370 	370 	370 	370 	370 	370 	370 
A,TOTAL,KM2,ES707	708 	708 	708 	708 	708 	708 	708 	708 	708 	708 
A,TOTAL,KM2,ES708	846 	846 	846 	846 	846 	846 	846 	846 	846 	846 
A,TOTAL,KM2,ES709	2034 	2034 	2034 	2034 	2034 	2034 	2034 	2034 	2034 	2034 
A,TOTAL,KM2,EU27_2020	4225144 	4225127 	4225127 	4225127 	4225134 	4225134 	4225134 	4225104 	4225104 	4225104 
A,TOTAL,KM2,EU28	4473680 	4469508 	4469508 	: 	: 	: 	: 	: 	: 	: 
A,TOTAL,KM2,FI	338441 	338411 	338411 	338411 	338411 	338411 	338411 	338363 	338363 	338363 
A,TOTAL,KM2,FI1	336859 	336830 	336830 	336830 	336830 	336830 	336830 	336782 	336782 	336782 
A,TOTAL,KM2,FI19	64763 	64763 	64763 	64763 	64763 	64763 	64763 	64725 	64725 	64725 
A,TOTAL,KM2,FI193	19949 	19949 	19949 	19949 	19949 	19949 	19949 	: m	: m	: m
A,TOTAL,KM2,FI194	13999 	13999 	13999 	13999 	13999 	13999 	13999 	: m	: m	: m
A,TOTAL,KM2,FI195	7934 	7934 	7934 	7934 	7934 	7934 	7934 	: m	: m	: m
A,TOTAL,KM2,FI196	8268 	8268 	8268 	8268 	8268 	8268 	8268 	8268 	8268 	8268 
A,TOTAL,KM2,FI197	14613 	14613 	14613 	14613 	14613 	14613 	14613 	: m	: m	: m
A,TOTAL,KM2,FI198	: m	: m	: m	: m	: m	: m	: m	18074 	18074 	18074 
A,TOTAL,KM2,FI199	: m	: m	: m	: m	: m	: m	: m	14711 	14711 	14711 
A,TOTAL,KM2,FI19A	: m	: m	: m	: m	: m	: m	: m	7185 p	7185 p	7185 p
A,TOTAL,KM2,FI19B	: m	: m	: m	: m	: m	: m	: m	16487 	16487 	16487 
A,TOTAL,KM2,FI1B	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 
A,TOTAL,KM2,FI1B1	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 	9568 
A,TOTAL,KM2,FI1C	35378 	35379 	35379 	35379 	35379 	35379 	35379 	35370 	35370 	35370 
A,TOTAL,KM2,FI1C1	10910 	10910 	10910 	10910 	10910 	10910 	10910 	10910 	10910 	10910 
A,TOTAL,KM2,FI1C2	5708 	5708 	5708 	5708 	5708 	5708 	5708 	5708 	5708 	5708 
A,TOTAL,KM2,FI1C3	6255 	6255 	6255 	6255 	6255 	6255 	6255 	: m	: m	: m
A,TOTAL,KM2,FI1C4	5634 	5634 	5634 	5634 	5634 	5634 	5634 	: m	: m	: m
A,TOTAL,KM2,FI1C5	6872 	6872 	6872 	6872 	6872 	6872 	6872 	6872 	6872 	6872 
A,TOTAL,KM2,FI1C6	: m	: m	: m	: m	: m	: m	: m	7629 	7629 	7629 
A,TOTAL,KM2,FI1C7	: m	: m	: m	: m	: m	: m	: m	4251 p	4251 p	4251 p
A,TOTAL,KM2,FI1D	227151 	227120 	227120 	227120 	227120 	227120 	227120 	227119 	227119 	227119 
A,TOTAL,KM2,FI1D1	19130 	19130 	19130 	19130 	19130 	19130 	19130 	: m	: m	: m
A,TOTAL,KM2,FI1D2	20366 	20366 	20366 	20366 	20366 	20366 	20366 	: m	: m	: m
A,TOTAL,KM2,FI1D3	21584 	21584 	21584 	21584 	21584 	21584 	21584 	: m	: m	: m
A,TOTAL,KM2,FI1D4	24451 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FI1D5	5219 	5219 	5219 	5219 	5219 	5219 	5219 	5219 	5219 	5219 
A,TOTAL,KM2,FI1D6	37417 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FI1D7	98983 	98983 	98983 	98983 	98983 	98983 	98983 	98983 	98983 	98983 
A,TOTAL,KM2,FI1D8	: m	22688 e	22688 e	22688 e	22688 	22688 	22688 	22688 	22688 	22688 
A,TOTAL,KM2,FI1D9	: m	39150 e	39150 e	39150 e	39150 	39150 	39150 	39150 	39150 	39150 
A,TOTAL,KM2,FI1DA	: m	: m	: m	: m	: m	: m	: m	15068 	15068 	15068 
A,TOTAL,KM2,FI1DB	: m	: m	: m	: m	: m	: m	: m	21790 	21790 	21790 
A,TOTAL,KM2,FI1DC	: m	: m	: m	: m	: m	: m	: m	24221 	24221 	24221 
A,TOTAL,KM2,FI2	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 
A,TOTAL,KM2,FI20	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 
A,TOTAL,KM2,FI200	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 	1581 
A,TOTAL,KM2,FR	638474 	638475 	638475 	638475 	638475 	638475 	638475 	638475 	638475 	638475 
A,TOTAL,KM2,FR1	12069 	12070 	12070 	12070 	12070 	12070 	12070 	12070 	12070 	12070 
A,TOTAL,KM2,FR10	12069 	12070 	12070 	12070 	12070 	12070 	12070 	12070 	12070 	12070 
A,TOTAL,KM2,FR101	105 	105 	105 	105 	105 	105 	105 	105 	105 	105 
A,TOTAL,KM2,FR102	5927 	5927 	5927 	5927 	5927 	5927 	5927 	5927 	5927 	5927 
A,TOTAL,KM2,FR103	2307 	2307 	2307 	2307 	2307 	2307 	2307 	2307 	2307 	2307 
A,TOTAL,KM2,FR104	1820 	1820 	1820 	1820 	1820 	1820 	1820 	1820 	1820 	1820 
A,TOTAL,KM2,FR105	176 	176 	176 	176 	176 	176 	176 	176 	176 	176 
A,TOTAL,KM2,FR106	237 	237 	237 	237 	237 	237 	237 	237 	237 	237 
A,TOTAL,KM2,FR107	245 	245 	245 	245 	245 	245 	245 	245 	245 	245 
A,TOTAL,KM2,FR108	1253 	1253 	1253 	1253 	1253 	1253 	1253 	1253 	1253 	1253 
A,TOTAL,KM2,FR2	146620 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR21	25719 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR211	5245 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR212	6028 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR213	8190 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR214	6257 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR22	19505 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR221	7419 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR222	5890 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR223	6196 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR23	12354 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR231	6034 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR232	6321 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR24	39530 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR241	7306 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR242	5932 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR243	6899 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR244	6157 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR245	6422 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR246	6813 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR25	17759 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR251	5605 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR252	6007 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR253	6146 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR26	31753 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR261	8802 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR262	6875 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR263	8615 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR264	7462 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR3	12445 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR30	12445 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR301	5750 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR302	6694 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR4	48306 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR41	23669 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR411	5285 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR412	6235 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR413	6252 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR414	5897 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR42	8329 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR421	4797 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR422	3532 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR43	16307 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR431	5256 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR432	5050 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR433	5391 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR434	611 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR5	85814 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR51	32376 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR511	6912 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR512	7232 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR513	5213 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR514	6246 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR515	6773 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR52	27471 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR521	6988 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR522	6765 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR523	6839 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR524	6879 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR53	25967 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR531	5974 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR532	6914 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR533	6040 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR534	7039 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR6	104463 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR61	41804 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR611	9222 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR612	10160 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR613	9352 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR614	5385 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR615	7685 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR62	45603 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR621	4911 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR622	8773 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR623	6358 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR624	6301 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR625	5226 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR626	4521 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR627	5782 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR628	3731 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR63	17056 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR631	5899 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR632	5600 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR633	5557 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR7	71136 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR71	44963 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR711	5785 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR712	5566 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR713	6559 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR714	7879 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR715	4804 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR716	3259 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR717	6270 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR718	4840 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR72	26173 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR721	7379 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR722	5774 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR723	5004 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR724	8015 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR8	68207 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR81	27643 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR811	6323 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR812	5875 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR813	6162 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR814	5176 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR815	4107 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR82	31838 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR821	6995 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR822	5691 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR823	4296 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR824	5247 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR825	6032 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR826	3578 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR83	8726 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR831	4019 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FR832	4707 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA	89414 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA1	1685 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA10	1685 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA2	1108 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA20	1108 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA3	83751 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA30	83751 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA4	2504 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA40	2504 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA5	367 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRA50	367 	: m	: m	: m	: m	: m	: m	: m	: m	: m
A,TOTAL,KM2,FRB	: m	39529 	39529 	39529 	39529 	39529 	39529 	39529 	39529 	39529 
A,TOTAL,KM2,FRB0	: m	39529 	39529 	39529 	39529 	39529 	39529 	39529 	39529 	39529 
A,TOTAL,KM2,FRB01	: m	7306 	7306 	7306 	7306 	7306 	7306 	7306 	7306 	7306 
A,TOTAL,KM2,FRB02	: m	5932 	5932 	5932 	5932 	5932 	5932 	5932 	5932 	5932 
A,TOTAL,KM2,FRB03	: m	6899 	6899 	6899 	6899 	6899 	6899 	6899 	6899 	6899 
A,TOTAL,KM2,FRB04	: m	6157 	6157 	6157 	6157 	6157 	6157 	6157 	6157 	6157 
A,TOTAL,KM2,FRB05	: m	6422 	6422 	6422 	6422 	6422 	6422 	6422 	6422 	6422 
A,TOTAL,KM2,FRB06	: m	6813 	6813 	6813 	6813 	6813 	6813 	6813 	6813 	6813 
A,TOTAL,KM2,FRC	: m	48062 	48062 	48062 	48062 	48062 	48062 	48062 	48062 	48062 
