freq,c_resid,unit,nace_r2,geo\TIME_PERIOD	2020 	2021 	2022 	2023 	2024 
A,DOM,NR,I551-I553,CH025	: 	113981 	240135 	243561 	252934 
A,DOM,NR,I551-I553,CH03	: 	1004676 	1248341 	1310853 	1360871 
A,DOM,NR,I551-I553,CH031	: 	403037 	550280 	557423 	592433 
A,DOM,NR,I551-I553,CH032	: 	127427 	172909 	184401 	177064 
A,DOM,NR,I551-I553,CH033	: 	355169 	525152 	569029 	591374 
A,DOM,NR,I551-I553,CH04	: 	1601603 	2391144 	2533804 	2710298 
A,DOM,NR,I551-I553,CH040	: 	1338876 	2391144 	2533804 	2710298 
A,DOM,NR,I551-I553,CH05	: 	9121764 	8581873 	8432724 	8375895 
A,DOM,NR,I551-I553,CH051	: 	108513 	253618 	273968 	262558 
A,DOM,NR,I551-I553,CH052	: 	87573 	106118 	102555 	91081 
A,DOM,NR,I551-I553,CH053	: 	108493 	150949 	158287 	156870 
A,DOM,NR,I551-I553,CH054	: 	174458 	261362 	253383 	259241 
A,DOM,NR,I551-I553,CH055	: 	641911 	1129876 	1190496 	1129869 
A,DOM,NR,I551-I553,CH056	: 	4042961 	6225612 	6022191 	6039532 
A,DOM,NR,I551-I553,CH057	: 	351864 	454339 	431844 	436744 
A,DOM,NR,I551-I553,CH06	: 	3371756 	3204159 	3149345 	3181906 
A,DOM,NR,I551-I553,CH061	: 	931266 	1329257 	1289971 	1260233 
A,DOM,NR,I551-I553,CH062	: 	199031 	322519 	300047 	302877 
A,DOM,NR,I551-I553,CH063	: 	488120 	572550 	582569 	611909 
A,DOM,NR,I551-I553,CH064	: 	295187 	573932 	579111 	617904 
A,DOM,NR,I551-I553,CH065	: 	167400 	213473 	202137 	202164 
A,DOM,NR,I551-I553,CH066	: 	123360 	192428 	195511 	186819 
A,DOM,NR,I551-I553,CH07	: 	4627544 	3360077 	3087552 	2926767 
A,DOM,NR,I551-I553,CH070	: 	2433797 	3360077 	3087552 	2926767 
A,DOM,NR,I551-I553,CY	1092094 	1547845 	1317451 	1207788 	1350625 
A,DOM,NR,I551-I553,CY0	1092094 	1547845 	1317451 	1207788 	1350625 
A,DOM,NR,I551-I553,CY00	1092094 	1547845 	1317451 	1207788 	1350625 
A,DOM,NR,I551-I553,CY000	: 	1547845 	1317451 	1207788 	1350625 
A,DOM,NR,I551-I553,CZ	23994436 	25376927 	32459645 	32480862 	31761973 
A,DOM,NR,I551-I553,CZ0	23994436 	25376927 	32459645 	32480862 	31761973 
A,DOM,NR,I551-I553,CZ01	1351953 	1828818 	2588861 	2691291 	2614466 
A,DOM,NR,I551-I553,CZ010	1351953 	1828818 	2588861 	2691291 	2614466 
A,DOM,NR,I551-I553,CZ02	1631571 	1823714 	2329939 	2454230 	2445528 
A,DOM,NR,I551-I553,CZ020	1631571 	1823714 	2329939 	2454230 	2445528 
A,DOM,NR,I551-I553,CZ03	4286782 	4368513 	5170651 	5191960 	5082320 
A,DOM,NR,I551-I553,CZ031	3069176 	3106668 	3570497 	3599175 	3588869 
A,DOM,NR,I551-I553,CZ032	1217606 	1261845 	1600154 	1592785 	1493451 
A,DOM,NR,I551-I553,CZ04	2714446 	3005219 	3429058 	3506678 	3435127 
A,DOM,NR,I551-I553,CZ041	1816907 	2067266 	2323131 	2401333 	2327595 
A,DOM,NR,I551-I553,CZ042	897539 	937953 	1105927 	1105345 	1107532 
A,DOM,NR,I551-I553,CZ05	5976315 	5697305 	7953606 	7802639 	7621078 
A,DOM,NR,I551-I553,CZ051	2173516 	2023466 	2900131 	2808507 	2762771 
A,DOM,NR,I551-I553,CZ052	2915742 	2761870 	3836203 	3738154 	3651346 
A,DOM,NR,I551-I553,CZ053	887057 	911969 	1217272 	1255978 	1206961 
A,DOM,NR,I551-I553,CZ06	3356184 	3750882 	4551238 	4478262 	4412550 
A,DOM,NR,I551-I553,CZ063	1024392 	1121400 	1398761 	1391941 	1400226 
A,DOM,NR,I551-I553,CZ064	2331792 	2629482 	3152477 	3086321 	3012324 
A,DOM,NR,I551-I553,CZ07	3008302 	3178276 	4092079 	4062807 	3871530 
A,DOM,NR,I551-I553,CZ071	1505343 	1543429 	2039702 	2041417 	1888711 
A,DOM,NR,I551-I553,CZ072	1502959 	1634847 	2052377 	2021390 	1982819 
A,DOM,NR,I551-I553,CZ08	1668883 	1724200 	2344213 	2292995 	2279374 
A,DOM,NR,I551-I553,CZ080	1668883 	1724200 	2344213 	2292995 	2279374 
A,DOM,NR,I551-I553,DE	229025364 	235371154 	332792753 	351060606 	354827032 
A,DOM,NR,I551-I553,DE1	23445622 	24545542 	35340356 	38150723 	38816324 
A,DOM,NR,I551-I553,DE11	: @C	5158394 	8393011 	9528466 	10118516 
A,DOM,NR,I551-I553,DE111	: @C	: @C	: @C	: @C	: @C
A,DOM,NR,I551-I553,DE112	437087 	426609 	652178 	718393 	: @C
A,DOM,NR,I551-I553,DE113	486510 	495310 	874450 	: @C	1112499 
A,DOM,NR,I551-I553,DE114	202328 	: @C	320011 	369066 	387748 
A,DOM,NR,I551-I553,DE115	463737 	459637 	724054 	: @C	752485 
A,DOM,NR,I551-I553,DE116	296819 	: @C	: @C	564420 	572769 
A,DOM,NR,I551-I553,DE117	165071 	183182 	314747 	366346 	425434 
A,DOM,NR,I551-I553,DE118	421191 	395669 	628844 	: @C	751160 
A,DOM,NR,I551-I553,DE119	: @C	: @C	: @C	: @C	335803 
A,DOM,NR,I551-I553,DE11A	296176 	309752 	457505 	508125 	: @C
A,DOM,NR,I551-I553,DE11B	373169 	399944 	527808 	545700 	515740 
A,DOM,NR,I551-I553,DE11C	111698 	120137 	182601 	197166 	202585 
A,DOM,NR,I551-I553,DE11D	395908 	: @C	571055 	629825 	613707 
A,DOM,NR,I551-I553,DE12	: @C	4871232 	7400886 	8294171 	8453386 
A,DOM,NR,I551-I553,DE121	248737 	258371 	399605 	419176 	421838 
A,DOM,NR,I551-I553,DE122	462593 	477037 	735711 	877004 	1021627 
A,DOM,NR,I551-I553,DE123	318318 	338142 	497038 	556140 	534088 
A,DOM,NR,I551-I553,DE124	: @C	: @C	: @C	468448 	473422 
A,DOM,NR,I551-I553,DE125	583267 	606995 	979132 	1108389 	1259504 
A,DOM,NR,I551-I553,DE126	508926 	574179 	992218 	1257084 	: @C
A,DOM,NR,I551-I553,DE127	184405 	196461 	293567 	309670 	: @C
A,DOM,NR,I551-I553,DE128	563233 	606398 	: @C	1037112 	1057114 
A,DOM,NR,I551-I553,DE129	107329 	120050 	188719 	199494 	191339 
A,DOM,NR,I551-I553,DE12A	503363 	: @C	753831 	: @C	777284 
A,DOM,NR,I551-I553,DE12B	117860 	114856 	: @C	178762 	175309 
A,DOM,NR,I551-I553,DE12C	: @C	781937 	1095547 	: @C	1098208 
A,DOM,NR,I551-I553,DE13	8562803 	9108042 	12068843 	12459011 	12404462 
A,DOM,NR,I551-I553,DE131	915602 	1035368 	1501490 	1518292 	1533470 
A,DOM,NR,I551-I553,DE132	2192366 	2204120 	2866233 	2870225 	2841966 
A,DOM,NR,I551-I553,DE133	366406 	: @C	506182 	508735 	505263 
A,DOM,NR,I551-I553,DE134	1670736 	1955718 	2582456 	2706878 	2741298 
A,DOM,NR,I551-I553,DE135	158363 	: @C	: @C	: @C	230397 
A,DOM,NR,I551-I553,DE136	523745 	: @C	: @C	749051 	744058 
A,DOM,NR,I551-I553,DE137	151721 	: @C	223678 	245737 	267641 
A,DOM,NR,I551-I553,DE138	1525879 	1569933 	: @C	2043204 	2058521 
A,DOM,NR,I551-I553,DE139	601727 	: @C	831780 	: @C	: @C
A,DOM,NR,I551-I553,DE13A	456258 	: @C	: @C	641078 	: @C
A,DOM,NR,I551-I553,DE14	5206041 	5407874 	7477616 	7869075 	7839960 
A,DOM,NR,I551-I553,DE141	424491 	474185 	: @C	730356 	747912 
A,DOM,NR,I551-I553,DE142	178742 	210129 	302754 	334766 	327389 
A,DOM,NR,I551-I553,DE143	146783 	140848 	: @C	233017 	212499 
A,DOM,NR,I551-I553,DE144	295788 	340818 	534049 	: @C	628519 
A,DOM,NR,I551-I553,DE145	265080 	: @C	431118 	461425 	463256 
A,DOM,NR,I551-I553,DE146	246718 	245710 	381277 	431360 	414509 
A,DOM,NR,I551-I553,DE147	2097988 	: @C	: @C	2627439 	: @C
A,DOM,NR,I551-I553,DE148	1259255 	: @C	: @C	2037131 	2124579 
A,DOM,NR,I551-I553,DE149	291196 	: @C	413256 	: @C	: @C
A,DOM,NR,I551-I553,DE2	46161145 	46762026 	67206559 	70833306 	71904580 
A,DOM,NR,I551-I553,DE21	18711073 	18954182 	27781216 	29426139 	30305065 
A,DOM,NR,I551-I553,DE211	223060 	231821 	394466 	464532 	471265 
A,DOM,NR,I551-I553,DE212	4809283 	5545760 	9402889 	10460044 	10803432 
A,DOM,NR,I551-I553,DE213	127552 	134998 	226786 	267278 	258379 
A,DOM,NR,I551-I553,DE214	140069 	151874 	234938 	242860 	246528 
A,DOM,NR,I551-I553,DE215	1763688 	1648002 	2155307 	2187671 	2214795 
A,DOM,NR,I551-I553,DE216	681772 	711253 	899516 	895666 	914177 
A,DOM,NR,I551-I553,DE217	158407 	148990 	292243 	380006 	403701 
A,DOM,NR,I551-I553,DE218	199789 	208351 	304451 	316848 	300303 
A,DOM,NR,I551-I553,DE219	503460 	513848 	627627 	651231 	640378 
A,DOM,NR,I551-I553,DE21A	442182 	421903 	758117 	833964 	897055 
A,DOM,NR,I551-I553,DE21B	355178 	336813 	628084 	703666 	829355 
A,DOM,NR,I551-I553,DE21C	158320 	193429 	278450 	312878 	321958 
A,DOM,NR,I551-I553,DE21D	2349013 	2171469 	2801702 	2668466 	2694385 
A,DOM,NR,I551-I553,DE21E	157793 	180502 	228660 	242642 	242443 
A,DOM,NR,I551-I553,DE21F	1275191 	1158573 	1629857 	1694508 	1693518 
A,DOM,NR,I551-I553,DE21G	84421 	96069 	131784 	141400 	143730 
A,DOM,NR,I551-I553,DE21H	870315 	918340 	1549610 	1602313 	1851147 
A,DOM,NR,I551-I553,DE21I	90889 	86044 	109648 	121589 	119453 
A,DOM,NR,I551-I553,DE21J	150075 	155386 	210863 	227149 	213944 
A,DOM,NR,I551-I553,DE21K	1198889 	1228069 	1572328 	1597924 	1538331 
A,DOM,NR,I551-I553,DE21L	436559 	459301 	573171 	565493 	594305 
A,DOM,NR,I551-I553,DE21M	2307716 	2012816 	2466483 	2517228 	2560873 
A,DOM,NR,I551-I553,DE21N	227452 	240571 	304236 	330783 	351610 
A,DOM,NR,I551-I553,DE22	6033922 	5903534 	8346954 	8602395 	8485775 
A,DOM,NR,I551-I553,DE221	124732 	113243 	166624 	180913 	213220 
A,DOM,NR,I551-I553,DE222	228224 	215982 	327426 	393538 	392247 
A,DOM,NR,I551-I553,DE223	60679 	66689 	90738 	99166 	93963 
A,DOM,NR,I551-I553,DE224	158639 	173329 	231739 	262936 	256998 
A,DOM,NR,I551-I553,DE225	753980 	641597 	897899 	922699 	886326 
A,DOM,NR,I551-I553,DE226	402688 	396853 	502406 	576141 	551270 
A,DOM,NR,I551-I553,DE227	121459 	128527 	187127 	184954 	186574 
A,DOM,NR,I551-I553,DE228	1739980 	1943885 	2729413 	2756248 	2782165 
A,DOM,NR,I551-I553,DE229	1493231 	1295100 	1884490 	1828131 	1776897 
